logTP,fit,se,lwr,upr,LM,JB,DR,TSI
1.840712253,0.169223528,0.087746951,0.02474588,0.313701176,1.224151537,1.194373928,1.052525017,1.252563254
1.850712253,0.179411962,0.086246755,0.037404425,0.321419498,1.240321224,1.211939706,1.067887134,1.270845028
1.860712253,0.189667564,0.084756613,0.050113586,0.329221542,1.256704495,1.229763825,1.083473469,1.289393632
1.870712253,0.199990367,0.083276782,0.062872968,0.337107766,1.27330417,1.247850085,1.099287294,1.308212963
1.880712253,0.210380391,0.081807526,0.075682161,0.345078622,1.290123109,1.266202342,1.11533193,1.327306971
1.890712253,0.220837653,0.080349108,0.088540746,0.353134559,1.307164207,1.284824507,1.131610744,1.346679665
1.900712253,0.231362157,0.078901794,0.101448292,0.361276023,1.3244304,1.30372055,1.148127157,1.366335113
1.910712253,0.241953903,0.077465851,0.114404354,0.369503451,1.341924659,1.3228945,1.164884634,1.386277442
1.920712253,0.252612879,0.076041551,0.127408478,0.377817279,1.359649999,1.342350442,1.181886695,1.406510839
1.930712253,0.263339068,0.074629165,0.140460197,0.386217938,1.37760947,1.362092525,1.199136909,1.427039552
1.940712253,0.274132441,0.073228969,0.15355903,0.394705853,1.395806167,1.382124957,1.216638898,1.447867892
1.950712253,0.284992965,0.07184124,0.166704485,0.403281445,1.414243221,1.402452008,1.234396338,1.469000232
1.960712253,0.295920592,0.070466259,0.179896055,0.41194513,1.432923809,1.42307801,1.252412956,1.490441009
1.970712253,0.306915272,0.069104307,0.193133223,0.42069732,1.451851146,1.444007362,1.270692535,1.512194724
1.980712253,0.31797694,0.067755671,0.206415457,0.429538422,1.471028493,1.465244523,1.289238914,1.534265946
1.990712253,0.329105525,0.066420637,0.21974221,0.43846884,1.490459151,1.486794022,1.308055987,1.556659307
2.000712253,0.340300948,0.065099497,0.233112925,0.447488971,1.510146467,1.508660451,1.327147703,1.579379511
2.010712253,0.351563118,0.063792544,0.246527027,0.456599209,1.53009383,1.530848472,1.346518073,1.602431327
2.020712253,0.362891936,0.062500075,0.259983928,0.465799943,1.550304676,1.553362815,1.366171163,1.625819596
2.030712253,0.374287294,0.06122239,0.273483028,0.475091559,1.570782485,1.576208278,1.386111099,1.649549228
2.040712253,0.385749073,0.059959792,0.287023709,0.484474437,1.591530783,1.599389732,1.406342068,1.673625205
2.050712253,0.397277147,0.058712586,0.30060534,0.493948953,1.612553143,1.622912117,1.426868318,1.698052583
2.060712253,0.408871377,0.057481081,0.314227274,0.50351548,1.633853185,1.646780449,1.447694159,1.722836491
2.070712253,0.420531617,0.056265592,0.327888849,0.513174385,1.655434577,1.670999815,1.468823963,1.747982132
