"ID","NAME","DATE","CHL","TP"
"643401","Anvil Lake - Deep Hole",1993-05-12,4.01,11
"643137","Muskellunge Lake - Deep Hole",1993-05-17,11.6,39
"643137","Muskellunge Lake - Deep Hole",1993-06-15,9.14,23
"643401","Anvil Lake - Deep Hole",1993-06-21,3.54,9
"643402","Harris Lake - Deep Hole",1993-06-28,2.36,20
"643407","Crab Lake - Deep Hole",1993-06-29,2.95,9
"643080","Long Lake - Deep Hole",1993-07-07,3.21,13
"643401","Anvil Lake - Deep Hole",1993-07-20,3.06,10
"643137","Muskellunge Lake - Deep Hole",1993-07-20,12.2,30
"643249","North Turtle Lake - Deep Hole",1993-07-20,7.88,16
"643257","South Turtle Lake - Deep Hole",1993-07-20,5.57,17
"643402","Harris Lake - Deep Hole",1993-07-30,2.97,11
"643080","Long Lake - Deep Hole",1993-08-11,2.2,6
"643401","Anvil Lake - Deep Hole",1993-08-16,3.03,8
"643249","North Turtle Lake - Deep Hole",1993-08-16,5.29,15
"643257","South Turtle Lake - Deep Hole",1993-08-16,8.35,15
"643407","Crab Lake - Deep Hole",1993-08-22,2.73,12
"643137","Muskellunge Lake - Deep Hole",1993-08-23,13.7,39
"643401","Anvil Lake - Deep Hole",1993-09-19,10.8,13
"643407","Crab Lake - Deep Hole",1993-10-06,4.07,12
"643137","Muskellunge Lake - Deep Hole",1993-10-11,16.1,31
"643080","Long Lake - Deep Hole",1993-10-12,4.98,10
"643402","Harris Lake - Deep Hole",1993-10-19,3.76,23
"643366","Afterglow Lake - Deep Hole",1993-10-31,2.6,8
"643249","North Turtle Lake - Deep Hole",1993-11-03,5.39,14
"643257","South Turtle Lake - Deep Hole",1993-11-03,17.4,15
"643257","South Turtle Lake - Deep Hole",1994-05-16,1.8,11
"643402","Harris Lake - Deep Hole",1994-05-22,1.93,12
"643401","Anvil Lake - Deep Hole",1994-05-23,3.26,9
"643412","Hennig Lake at Deep Hole",1994-05-23,3.75,29
"643080","Long Lake - Deep Hole",1994-05-24,2.09,16
"643411","Van Vliet Lake - Deep Hole",1994-05-26,3.48,17
"643080","Long Lake - Deep Hole",1994-06-16,2.99,8
"643407","Crab Lake - Deep Hole",1994-06-20,1.72,10
"643109","Sunset Lake - Deepest Spot",1994-06-22,1.18,8
"643341","Boot Lake - Deep Hole",1994-06-24,9.78,28.5
"643401","Anvil Lake - Deep Hole",1994-06-27,6.07,15
"643402","Harris Lake - Deep Hole",1994-06-27,2.42,9
"643412","Hennig Lake at Deep Hole",1994-06-27,2.17,14
"643257","South Turtle Lake - Deep Hole",1994-06-27,5.85,20
"643411","Van Vliet Lake - Deep Hole",1994-06-27,8.46,20
"643366","Afterglow Lake - Deep Hole",1994-06-28,1.92,13
"643077","Little Spider Lake - Deep Hole",1994-06-28,3.64,13
"643137","Muskellunge Lake - Deep Hole",1994-06-29,20.2,39
"643249","North Turtle Lake - Deep Hole",1994-06-29,6.81,13
"643125","Big Sand Lake - Deep Hole",1994-07-08,3.8,15
"643137","Muskellunge Lake - Deep Hole",1994-07-11,21.4,44
"643080","Long Lake - Deep Hole",1994-07-12,2.47,14
"643237","Little Crooked Lake - Deep Hole",1994-07-18,3.09,17
"643164","Plum Lake - Site 1-Deep Hole",1994-07-18,4.38,12
"643109","Sunset Lake - Deepest Spot",1994-07-18,2.36,10
"643341","Boot Lake - Deep Hole",1994-07-24,14.1,32
"643249","North Turtle Lake - Deep Hole",1994-07-26,4.82,12
"643401","Anvil Lake - Deep Hole",1994-07-27,11.7,78
"643257","South Turtle Lake - Deep Hole",1994-07-27,5.37,17
"643402","Harris Lake - Deep Hole",1994-07-31,2.7,10
"643412","Hennig Lake at Deep Hole",1994-08-01,2.33,15
"643407","Crab Lake - Deep Hole",1994-08-02,2.64,9
"643077","Little Spider Lake - Deep Hole",1994-08-02,9.44,19
"643084","McDonald Lake - Deep Hole",1994-08-07,6.33,26
"643080","Long Lake - Deep Hole",1994-08-11,1.25,13
"643237","Little Crooked Lake - Deep Hole",1994-08-15,10.2,22
"643164","Plum Lake - Site 1-Deep Hole",1994-08-15,3.86,15
"643109","Sunset Lake - Deepest Spot",1994-08-15,0.542,10
"643401","Anvil Lake - Deep Hole",1994-08-17,11.2,19
"643341","Boot Lake - Deep Hole",1994-08-21,23.5,32
"643249","North Turtle Lake - Deep Hole",1994-08-24,1.49,12
"643411","Van Vliet Lake - Deep Hole",1994-08-28,11.1,27
"643401","Anvil Lake - Deep Hole",1994-08-29,10.7,38.5
"643412","Hennig Lake at Deep Hole",1994-08-29,3.35,23
